month_year,geocod,geodsg,dim_3,dim_3_t,valor
Janeiro de 2017,11,Norte,T,Total,246249
Fevereiro de 2017,11,Norte,T,Total,268558
Março de 2017,11,Norte,T,Total,317986
Abril de 2017,11,Norte,T,Total,440259
Maio de 2017,11,Norte,T,Total,445037
Junho de 2017,11,Norte,T,Total,461904
Julho de 2017,11,Norte,T,Total,493035
Agosto de 2017,11,Norte,T,Total,586311
Setembro de 2017,11,Norte,T,Total,528109
Outubro de 2017,11,Norte,T,Total,460262
Novembro de 2017,11,Norte,T,Total,314825
Dezembro de 2017,11,Norte,T,Total,330070
Janeiro de 2018,11,Norte,T,Total,264479
Fevereiro de 2018,11,Norte,T,Total,292975
Março de 2018,11,Norte,T,Total,376153
Abril de 2018,11,Norte,T,Total,433720
Maio de 2018,11,Norte,T,Total,498882
Junho de 2018,11,Norte,T,Total,490919
Julho de 2018,11,Norte,T,Total,521442
Agosto de 2018,11,Norte,T,Total,636184
Setembro de 2018,11,Norte,T,Total,560769
Outubro de 2018,11,Norte,T,Total,502898
Novembro de 2018,11,Norte,T,Total,360412
Dezembro de 2018,11,Norte,T,Total,346464
Janeiro de 2019,11,Norte,T,Total,295989
Fevereiro de 2019,11,Norte,T,Total,309843
Março de 2019,11,Norte,T,Total,407753
Abril de 2019,11,Norte,T,Total,498434
Maio de 2019,11,Norte,T,Total,551425
Junho de 2019,11,Norte,T,Total,562599
Julho de 2019,11,Norte,T,Total,585758
Agosto de 2019,11,Norte,T,Total,702278
Setembro de 2019,11,Norte,T,Total,616762
Outubro de 2019,11,Norte,T,Total,548509
Novembro de 2019,11,Norte,T,Total,409128
Dezembro de 2019,11,Norte,T,Total,384548
Janeiro de 2020,11,Norte,T,Total,338706
Fevereiro de 2020,11,Norte,T,Total,364088
Março de 2020,11,Norte,T,Total,142976
Abril de 2020,11,Norte,T,Total,17494
Maio de 2020,11,Norte,T,Total,45309
Junho de 2020,11,Norte,T,Total,124847
Julho de 2020,11,Norte,T,Total,253554
Agosto de 2020,11,Norte,T,Total,427559
Setembro de 2020,11,Norte,T,Total,310138
Outubro de 2020,11,Norte,T,Total,235674
Novembro de 2020,11,Norte,T,Total,97582
Dezembro de 2020,11,Norte,T,Total,111990
Janeiro de 2021,11,Norte,T,Total,80773
Fevereiro de 2021,11,Norte,T,Total,60923
Março de 2021,11,Norte,T,Total,76160
Abril de 2021,11,Norte,T,Total,115410
Maio de 2021,11,Norte,T,Total,243324
Junho de 2021,11,Norte,T,Total,296511
Julho de 2021,11,Norte,T,Total,357443
Agosto de 2021,11,Norte,T,Total,554248
Setembro de 2021,11,Norte,T,Total,445500
Outubro de 2021,11,Norte,T,Total,486032
Novembro de 2021,11,Norte,T,Total,345667
Dezembro de 2021,11,Norte,T,Total,286711
Janeiro de 2022,11,Norte,T,Total,206784
Fevereiro de 2022,11,Norte,T,Total,300059
Março de 2022,11,Norte,T,Total,359736
Abril de 2022,11,Norte,T,Total,533858
Maio de 2022,11,Norte,T,Total,569440
Junho de 2022,11,Norte,T,Total,574132
Julho de 2022,11,Norte,T,Total,657365
Agosto de 2022,11,Norte,T,Total,776568
Setembro de 2022,11,Norte,T,Total,651951
Outubro de 2022,11,Norte,T,Total,601520
Novembro de 2022,11,Norte,T,Total,402232
Dezembro de 2022,11,Norte,T,Total,411875
Janeiro de 2023,11,Norte,T,Total,339360
Fevereiro de 2023,11,Norte,T,Total,380588
Março de 2023,11,Norte,T,Total,460584
Abril de 2023,11,Norte,T,Total,634297
Maio de 2023,11,Norte,T,Total,654330
Junho de 2023,11,Norte,T,Total,643123
Julho de 2023,11,Norte,T,Total,701020
Agosto de 2023,11,Norte,T,Total,833480
Setembro de 2023,11,Norte,T,Total,741616
Outubro de 2023,11,Norte,T,Total,665907
Novembro de 2023,11,Norte,T,Total,441169
Dezembro de 2023,11,Norte,T,Total,461186
Janeiro de 2024,11,Norte,T,Total,359413
Fevereiro de 2024,11,Norte,T,Total,417235
